age,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies
70,Married,Bachelor's,37955.68,3162.97,Unemployed,0.076,763,11531.44,Debt consolidation,11.75,36,381.63,B5,3,54953.42,17787.21,1,0,1
35,Single,High School,18519.54,1543.3,Employed,0.148,591,500.0,Debt consolidation,13.36,36,16.93,E3,4,21826.05,17879.76,2,0,2
47,Single,Bachelor's,22470.16,1872.51,Employed,0.333,754,16809.71,Home,8.79,36,532.9,B5,8,38581.69,27967.77,1,0,1
66,Married,High School,59893.04,4991.09,Employed,0.242,674,24642.07,Debt consolidation,10.64,60,531.36,C1,6,61943.47,5261.71,2,0,3
60,Married,Other,75508.65,6292.39,Employed,0.328,710,31913.44,Other,14.12,36,1092.59,C3,5,86785.24,33653.57,1,0,1
28,Widowed,High School,101890.26,8490.86,Employed,0.092,571,2279.33,Vacation,13.6,60,52.56,F5,4,112597.29,43732.97,1,0,1
74,Single,High School,54631.31,4552.61,Employed,0.19,836,16254.79,Car,7.12,36,502.79,A5,7,76241.6,12610.78,1,1,1
23,Single,High School,15004.31,1250.36,Employed,0.273,685,8152.2,Other,14.03,36,278.74,C5,2,20518.92,3703.16,6,0,6
38,Single,Master's,79066.92,6588.91,Employed,0.124,844,11678.39,Other,9.56,36,374.42,A3,5,115457.76,85215.01,0,1,0
71,Single,High School,32033.04,2669.42,Employed,0.277,722,5481.42,Debt consolidation,8.3,60,111.93,C5,7,35072.74,8424.68,3,1,3
68,Single,High School,33047.9,2753.99,Employed,0.108,699,14317.32,Debt consolidation,12.45,36,478.62,C1,5,51772.1,30261.61,1,0,1
61,Married,Other,63573.39,5297.78,Retired,0.021,633,16530.32,Other,11.35,60,362.3,D2,8,66496.78,9986.63,5,0,6
67,Married,High School,37125.3,3093.78,Employed,0.238,733,11589.56,Car,12.77,36,389.22,C5,5,40182.63,27773.52,2,0,2
71,Divorced,Master's,36775.45,3064.62,Employed,0.058,595,5204.05,Debt consolidation,16.84,60,128.89,E5,5,32354.05,20701.49,3,0,3
64,Married,Bachelor's,62003.72,5166.98,Employed,0.165,709,16923.62,Business,9.66,36,543.38,C2,5,45580.38,41237.25,2,0,3
27,Divorced,High School,57689.03,4807.42,Employed,0.232,628,32102.84,Car,7.35,36,996.39,D1,5,56550.3,19670.96,1,0,2
46,Single,High School,44458.46,3704.87,Employed,0.101,808,32961.14,Debt consolidation,9.79,60,696.93,A1,4,44339.98,13000.37,2,0,2
33,Married,High School,39447.94,3287.33,Employed,0.24,841,2605.04,Debt consolidation,9.52,36,83.47,A1,4,55127.64,29128.51,1,0,1
70,Single,High School,53887.43,4490.62,Employed,0.279,813,21417.51,Home,6.2,36,653.5,A3,2,48680.01,29758.59,2,0,2
72,Single,High School,24369.98,2030.83,Retired,0.184,629,21589.41,Home,11.87,36,715.74,D5,2,33612.45,16603.35,2,0,2
48,Married,High School,24838.65,2069.89,Unemployed,0.11,680,7263.53,Debt consolidation,6.83,36,223.71,C2,6,24416.28,14573.33,2,0,2
37,Divorced,Other,21499.09,1791.59,Unemployed,0.17,742,24740.79,Debt consolidation,11.69,36,818.09,B3,5,35234.13,18915.61,1,0,1
59,Married,Master's,31111.57,2592.63,Unemployed,0.266,675,38923.22,Debt consolidation,12.85,36,1308.67,C3,8,52465.99,7384.9,3,1,3
36,Married,Bachelor's,56344.97,4695.41,Employed,0.089,690,15452.25,Other,6.84,36,475.99,C3,4,80557.29,51044.06,0,0,0
72,Single,Master's,36284.08,3023.67,Self-employed,0.165,773,18206.0,Other,10.01,36,587.54,B2,4,43571.06,7694.54,0,0,0
42,Married,PhD,19957.9,1663.16,Employed,0.086,562,3128.72,Debt consolidation,16.53,36,110.82,F1,4,27822.79,11459.6,2,0,2
69,Married,Bachelor's,21161.47,1763.46,Employed,0.08,596,19559.24,Home,12.99,36,658.93,E1,8,29904.88,12023.75,1,0,1
22,Single,High School,70769.94,5897.5,Employed,0.114,561,7914.16,Other,13.53,36,268.68,F5,7,85686.84,23607.71,0,0,0
36,Married,PhD,16452.34,1371.03,Employed,0.078,621,15482.34,Education,12.64,60,349.42,D1,7,30615.09,21622.12,2,0,2
37,Single,Bachelor's,27910.84,2325.9,Employed,0.136,850,22939.49,Debt consolidation,8.79,60,473.85,A1,5,23273.2,2678.55,4,0,4
57,Married,Other,30253.82,2521.15,Retired,0.204,786,22029.53,Home,9.01,36,700.64,B5,8,47125.78,36092.02,3,0,5
61,Single,High School,52320.93,4360.08,Employed,0.196,565,6027.3,Home,16.07,36,212.11,F2,7,48226.43,18002.05,5,0,5
72,Married,Other,13600.04,1133.34,Employed,0.406,648,26853.22,Debt consolidation,13.38,36,909.71,D2,2,18840.18,14890.63,1,0,1
48,Married,Other,52728.72,4394.06,Employed,0.108,720,1560.63,Home,14.04,36,53.37,C3,7,67573.79,36160.95,1,0,1
72,Married,Bachelor's,24203.98,2017.0,Employed,0.112,729,19510.24,Debt consolidation,11.18,36,640.4,C5,6,36208.5,16604.6,2,0,2
45,Married,Bachelor's,21858.8,1821.57,Employed,0.323,695,21017.26,Debt consolidation,9.62,36,674.42,C3,3,23900.79,11555.37,2,0,2
53,Single,Bachelor's,40411.14,3367.6,Employed,0.01,750,29667.01,Home,10.42,36,963.13,B1,1,35901.0,24818.32,0,0,0
65,Single,Bachelor's,108495.16,9041.26,Employed,0.201,703,12675.96,Debt consolidation,9.36,36,405.22,C4,2,91004.78,53317.65,0,0,1
32,Single,High School,46780.21,3898.35,Employed,0.067,704,2191.3,Business,13.54,60,50.47,C1,4,36012.67,3585.83,2,0,2
49,Married,Bachelor's,84887.36,7073.95,Employed,0.071,752,25670.67,Debt consolidation,13.38,60,589.09,B3,13,80585.59,19333.14,0,0,2
48,Widowed,High School,28646.7,2387.22,Employed,0.098,612,38180.19,Debt consolidation,14.49,60,898.12,D1,3,32238.4,15434.87,1,0,1
22,Married,Bachelor's,29247.04,2437.25,Employed,0.171,670,18700.69,Debt consolidation,11.18,36,613.83,C3,2,36785.23,33491.19,0,0,0
37,Single,Bachelor's,43841.39,3653.45,Self-employed,0.135,723,9093.0,Other,10.46,36,295.37,C1,5,32849.11,20435.75,1,0,2
29,Married,Bachelor's,137434.81,11452.9,Employed,0.201,625,8328.84,Other,10.77,36,271.77,D5,3,72947.64,30473.23,1,0,1
56,Married,Bachelor's,121367.67,10113.97,Student,0.179,645,9010.94,Debt consolidation,12.83,36,302.88,D1,4,170086.89,138346.99,2,0,4
36,Single,Bachelor's,34821.11,2901.76,Employed,0.144,617,19729.92,Debt consolidation,10.15,60,420.66,D1,6,24411.42,7855.88,5,0,6
55,Divorced,Bachelor's,10296.18,858.02,Employed,0.074,672,19493.31,Debt consolidation,11.26,60,426.36,C3,2,8700.87,3917.55,1,0,1
32,Single,High School,46188.15,3849.01,Employed,0.442,691,23259.93,Debt consolidation,14.27,36,798.02,C3,4,60170.58,39140.22,4,0,5
36,Married,Master's,79096.43,6591.37,Self-employed,0.114,644,8688.57,Business,11.79,36,287.71,D2,7,122622.49,64831.48,3,0,3
53,Single,Master's,15488.78,1290.73,Employed,0.497,674,8212.55,Other,15.67,36,287.39,C5,7,17600.58,3975.9,6,0,7
61,Single,Bachelor's,115563.01,9630.25,Employed,0.407,658,14393.24,Debt consolidation,13.82,60,333.56,D2,7,158470.1,82606.17,2,0,3
73,Married,Bachelor's,63381.3,5281.78,Unemployed,0.074,662,14547.24,Debt consolidation,13.69,36,495.0,D2,3,37341.07,20006.89,2,0,2
37,Married,PhD,35289.36,2940.78,Employed,0.088,667,19051.0,Debt consolidation,11.95,36,632.31,D5,4,28501.53,25183.84,2,0,3
45,Married,Bachelor's,25347.76,2112.31,Employed,0.468,676,8576.75,Medical,10.61,60,184.82,C4,8,44772.97,32767.86,5,0,5
47,Married,Master's,23871.96,1989.33,Employed,0.12,595,8209.01,Debt consolidation,14.38,36,282.08,E1,5,32100.45,28059.29,1,0,1
57,Single,Bachelor's,55506.81,4625.57,Employed,0.134,751,9237.0,Medical,8.87,36,293.18,B5,1,41847.63,37380.18,1,0,1
47,Widowed,High School,12661.01,1055.08,Retired,0.109,746,15759.53,Vacation,10.07,36,509.03,B5,3,15373.7,11215.43,2,0,3
51,Married,High School,27161.92,2263.49,Employed,0.234,666,17957.84,Business,14.24,60,420.09,D2,3,36169.51,21543.42,4,0,4
66,Single,High School,26874.13,2239.51,Employed,0.47,776,7478.13,Debt consolidation,10.57,36,243.3,B5,5,20367.44,2993.19,7,0,7
67,Married,High School,91263.6,7605.3,Employed,0.252,607,30794.28,Car,10.98,60,669.24,E2,4,138141.69,113450.51,0,0,2
40,Single,Other,48089.65,4007.47,Employed,0.508,755,16842.36,Debt consolidation,10.72,36,549.17,B1,4,42396.56,18536.67,2,0,2
31,Married,Bachelor's,156666.37,13055.53,Employed,0.051,650,4192.17,Debt consolidation,11.19,36,137.62,D3,3,232523.81,201566.57,1,0,1
46,Married,High School,34480.79,2873.4,Employed,0.24,668,13540.46,Debt consolidation,10.88,36,442.53,D5,3,26954.17,5324.61,3,0,3
59,Single,High School,22439.1,1869.92,Employed,0.18,720,11841.91,Business,12.86,36,398.2,C1,5,30564.88,16640.61,1,0,1
25,Married,Bachelor's,51754.3,4312.86,Employed,0.249,659,19737.72,Medical,12.52,60,444.26,D4,4,73410.72,61631.11,2,0,2
31,Single,Master's,42343.3,3528.61,Employed,0.108,593,10990.05,Other,15.68,60,265.39,E3,2,36084.3,15579.42,1,0,2
43,Single,High School,57117.58,4759.8,Unemployed,0.104,608,10608.35,Vacation,14.14,36,363.29,E1,1,41884.63,15139.04,3,0,3
26,Single,High School,45096.62,3758.05,Self-employed,0.23,738,34136.21,Other,11.09,36,1119.03,C2,0,57952.31,31433.38,3,0,5
49,Single,Master's,47826.46,3985.54,Employed,0.046,703,8286.49,Business,9.94,36,267.15,C2,2,45541.19,6848.96,1,0,1
44,Single,Bachelor's,27340.23,2278.35,Unemployed,0.175,609,15631.68,Business,13.32,36,529.11,E3,4,28648.03,11456.3,2,0,3
62,Single,Bachelor's,31562.32,2630.19,Self-employed,0.371,740,6379.43,Medical,7.69,60,128.41,B5,3,31092.2,14419.0,5,0,5
30,Single,High School,38925.23,3243.77,Self-employed,0.198,728,21998.9,Education,11.52,36,725.65,C3,4,28939.94,9137.25,1,0,2
27,Divorced,Bachelor's,26131.93,2177.66,Retired,0.445,626,29090.52,Debt consolidation,14.14,36,996.22,D3,10,37315.24,2441.79,3,0,3
58,Single,High School,22365.58,1863.8,Employed,0.236,739,13530.08,Debt consolidation,11.0,60,294.18,C3,6,31868.18,13578.69,2,0,5
61,Single,High School,42552.24,3546.02,Employed,0.06,666,6806.85,Home,13.18,36,229.94,D4,8,47019.37,32412.4,2,0,2
44,Married,High School,13234.77,1102.9,Employed,0.041,778,14851.45,Debt consolidation,12.48,36,496.69,B4,2,18764.04,10552.44,1,0,2
75,Single,High School,21315.3,1776.28,Employed,0.294,630,2345.68,Car,13.35,36,79.43,D5,11,39632.51,29012.71,2,0,2
46,Married,Bachelor's,32359.09,2696.59,Employed,0.123,690,11702.64,Debt consolidation,12.86,60,265.43,C1,5,53021.41,29344.11,2,0,3
22,Married,Bachelor's,41401.01,3450.08,Employed,0.2,706,10326.55,Medical,12.46,36,345.26,C1,7,54447.18,50351.97,0,0,0
36,Married,Master's,90726.89,7560.57,Self-employed,0.104,719,18888.41,Other,12.47,60,424.66,C4,4,57892.78,34206.8,2,1,2
39,Married,Bachelor's,22038.22,1836.52,Employed,0.176,669,24907.16,Education,10.98,36,815.19,D1,4,19662.36,11695.17,3,0,3
59,Married,Bachelor's,26920.04,2243.34,Employed,0.216,663,11700.56,Debt consolidation,14.72,60,276.64,D4,4,33326.76,14281.23,2,0,2
38,Married,Other,47551.91,3962.66,Employed,0.537,693,5044.26,Business,10.57,36,164.12,C3,3,73514.33,54252.18,1,0,2
40,Married,Bachelor's,14207.45,1183.95,Employed,0.039,672,500.0,Debt consolidation,12.55,36,16.74,C4,5,22183.16,1829.77,4,0,5
42,Divorced,PhD,83562.4,6963.53,Employed,0.202,687,500.0,Education,6.61,36,15.35,C5,2,125243.25,56387.32,3,2,3
57,Single,Master's,27348.3,2279.02,Employed,0.166,706,20360.83,Home,11.08,36,667.36,C1,8,33385.01,10285.67,0,0,0
71,Single,Bachelor's,34898.04,2908.17,Employed,0.434,692,26215.38,Debt consolidation,12.2,60,585.8,C1,5,43054.7,35441.8,3,0,4
58,Married,Bachelor's,35873.72,2989.48,Employed,0.083,727,14487.49,Debt consolidation,7.77,36,452.45,C5,3,49117.32,10172.52,1,0,2
56,Single,Master's,78212.82,6517.74,Self-employed,0.174,685,14700.32,Home,11.48,60,323.15,C3,2,51865.43,20560.53,1,0,1
41,Single,Bachelor's,69500.13,5791.68,Employed,0.046,682,22164.78,Other,10.95,60,481.36,C4,3,92892.22,5875.23,1,0,1
61,Married,Bachelor's,34993.7,2916.14,Employed,0.06,631,5524.78,Other,12.92,36,185.94,D5,3,42972.86,21477.59,3,0,3
34,Married,Bachelor's,32523.44,2710.29,Employed,0.059,731,28390.64,Debt consolidation,10.94,36,928.67,C3,4,37564.39,33634.53,2,0,3
48,Married,Bachelor's,19243.23,1603.6,Self-employed,0.081,758,500.0,Vacation,10.26,36,16.19,B5,5,26129.53,6838.7,1,0,2
28,Single,Bachelor's,29389.22,2449.1,Unemployed,0.264,640,500.0,Debt consolidation,14.76,60,11.83,D4,5,38274.08,25998.55,3,0,3
66,Married,High School,38240.21,3186.68,Employed,0.175,705,13949.18,Debt consolidation,11.6,36,460.65,C1,7,63960.74,12150.66,3,0,4
23,Married,Bachelor's,20497.04,1708.09,Unemployed,0.105,750,17173.11,Debt consolidation,8.57,36,542.67,B3,3,25693.19,7907.43,3,0,3
37,Single,Master's,26876.29,2239.69,Employed,0.347,685,7174.05,Debt consolidation,11.86,60,159.08,C4,4,36195.79,3786.72,2,0,2
54,Divorced,Bachelor's,28616.06,2384.67,Employed,0.136,713,24110.01,Other,9.81,36,775.81,C4,5,45926.65,29687.95,2,0,2
33,Divorced,Other,22553.11,1879.43,Employed,0.226,712,7673.82,Debt consolidation,14.87,36,265.53,C1,6,26056.64,19301.49,2,0,4
49,Married,High School,125881.28,10490.11,Employed,0.084,733,17417.43,Medical,8.48,36,549.66,C2,6,78837.54,21601.11,0,0,0
73,Married,Bachelor's,115100.66,9591.72,Employed,0.358,745,500.0,Other,11.81,36,16.56,B2,8,146091.26,113003.74,4,0,6
63,Married,Bachelor's,29333.5,2444.46,Employed,0.419,568,14028.7,Debt consolidation,12.83,36,471.53,F4,3,34150.23,18251.23,3,0,3
35,Divorced,Bachelor's,33048.67,2754.06,Employed,0.137,729,9081.32,Car,11.94,36,301.37,C5,4,22271.93,2961.88,1,0,3
63,Married,Bachelor's,21999.63,1833.3,Self-employed,0.218,616,10134.82,Debt consolidation,11.92,36,336.23,D2,8,25304.29,5055.69,3,0,3
71,Single,Other,8959.89,746.66,Employed,0.166,705,19376.18,Vacation,11.61,36,639.96,C3,7,18871.09,4138.67,0,0,0
32,Single,Bachelor's,18496.93,1541.41,Student,0.166,508,21557.64,Other,19.16,60,561.12,F3,11,32101.44,29801.29,1,0,2
48,Married,Other,14421.03,1201.75,Employed,0.228,620,9050.28,Debt consolidation,17.62,36,325.47,D5,3,11080.51,5108.94,3,0,4
25,Single,PhD,62520.68,5210.06,Unemployed,0.25,595,5794.28,Car,10.88,36,189.37,E3,8,67295.68,31196.21,0,0,2
40,Single,Other,41118.03,3426.5,Employed,0.255,662,12569.93,Business,10.41,36,408.02,D5,6,49737.16,10792.02,3,0,4
44,Married,Other,58523.81,4876.98,Self-employed,0.131,589,3327.19,Debt consolidation,16.74,36,118.19,E1,4,56706.68,20607.52,3,0,4
71,Single,Master's,17571.9,1464.32,Unemployed,0.398,685,21105.71,Debt consolidation,10.73,36,688.28,C1,11,31173.16,15292.17,3,0,3
36,Married,PhD,30648.36,2554.03,Employed,0.201,677,24110.43,Home,12.51,60,542.56,C4,7,30892.27,22408.33,0,0,1
65,Married,Bachelor's,63398.04,5283.17,Employed,0.113,613,28551.74,Education,13.71,36,971.81,D5,5,66984.54,51919.55,1,0,1
55,Married,Master's,28980.12,2415.01,Employed,0.171,623,15403.78,Debt consolidation,12.18,36,512.95,D3,6,31959.15,11995.69,2,0,2
43,Married,High School,10182.58,848.55,Employed,0.124,697,14312.38,Debt consolidation,13.74,36,487.36,C3,10,24762.18,20463.51,1,0,1
29,Single,Bachelor's,58655.17,4887.93,Employed,0.041,686,4404.45,Debt consolidation,9.56,60,92.63,C1,4,88819.45,23985.23,4,1,4
35,Single,Other,23684.08,1973.67,Employed,0.139,687,20590.01,Debt consolidation,16.52,36,729.18,C3,2,17282.07,5623.59,5,0,5
51,Single,High School,53448.84,4454.07,Employed,0.127,739,13863.78,Debt consolidation,11.9,36,459.81,C5,3,53894.57,16731.64,1,0,1
70,Single,Master's,73220.92,6101.74,Unemployed,0.15,545,11386.94,Home,16.27,36,401.85,F5,5,74821.44,5615.98,1,0,2
22,Married,Master's,32807.53,2733.96,Retired,0.038,785,20418.51,Debt consolidation,10.45,36,663.17,B5,4,20597.83,12125.38,1,0,1
27,Married,Master's,24293.08,2024.42,Employed,0.239,686,9378.23,Home,9.82,60,198.43,C1,4,25938.78,24336.22,3,0,4
56,Single,PhD,74445.27,6203.77,Employed,0.258,629,13847.44,Other,13.26,36,468.31,D5,7,101212.7,92949.12,2,0,2
21,Married,High School,22888.35,1907.36,Employed,0.19,574,2850.12,Business,13.19,36,96.29,F5,6,23870.24,1665.62,5,0,6
39,Single,Other,21674.91,1806.24,Employed,0.198,637,5883.17,Debt consolidation,16.04,60,143.19,D1,8,22195.86,8429.48,2,0,5
28,Married,Bachelor's,38903.05,3241.92,Student,0.24,635,34143.62,Home,10.62,36,1111.68,D2,9,34148.49,19396.12,5,0,6
48,Married,Bachelor's,10605.07,883.76,Self-employed,0.038,668,12366.92,Car,13.42,60,284.05,D4,5,18813.03,1787.77,2,1,5
72,Married,Master's,21502.74,1791.9,Employed,0.251,683,22583.97,Home,12.71,60,510.51,C3,6,33176.64,28116.79,1,0,1
64,Married,PhD,21796.59,1816.38,Employed,0.331,760,5047.27,Other,11.55,60,111.13,B1,8,30709.4,10664.74,2,0,2
25,Married,Bachelor's,34404.53,2867.04,Employed,0.066,647,13155.55,Vacation,15.7,36,460.56,D4,9,29141.53,22556.92,4,0,6
72,Divorced,High School,34724.93,2893.74,Self-employed,0.221,709,26820.93,Debt consolidation,12.1,36,892.12,C1,9,48740.55,27498.43,1,0,2
32,Married,Bachelor's,79392.65,6616.05,Employed,0.296,554,5932.63,Debt consolidation,12.51,36,198.5,F5,7,115612.79,46361.39,5,1,5
59,Single,Bachelor's,40000.28,3333.36,Employed,0.097,723,17349.85,Medical,8.94,60,359.65,C1,6,48743.85,12156.92,1,0,1
27,Single,Other,34970.31,2914.19,Employed,0.239,602,9531.48,Other,16.89,36,339.3,E5,6,40941.51,31222.86,0,0,0
58,Single,Bachelor's,85372.16,7114.35,Employed,0.071,600,30945.1,Debt consolidation,16.04,36,1088.55,E5,9,93775.52,72643.91,3,0,3
74,Married,Master's,95358.55,7946.55,Self-employed,0.294,519,2896.9,Car,15.67,36,101.38,F4,4,105450.09,31083.52,1,0,1
53,Divorced,PhD,91844.11,7653.68,Self-employed,0.289,679,9591.79,Car,10.87,36,313.43,C2,9,125049.88,70827.41,3,0,4
63,Single,High School,22448.39,1870.7,Employed,0.068,834,21687.29,Business,6.96,60,429.03,A2,6,34636.14,30003.43,0,0,1
69,Married,Other,36309.55,3025.8,Employed,0.102,772,20685.24,Car,7.58,36,644.2,B3,8,40304.99,14517.93,6,0,6
57,Divorced,PhD,13399.04,1116.59,Employed,0.15,798,500.0,Debt consolidation,11.05,60,10.88,B5,6,15241.98,1129.82,0,0,0
68,Widowed,Bachelor's,51655.82,4304.65,Employed,0.139,760,24365.78,Education,8.16,36,765.33,B5,9,67229.53,56408.23,1,0,2
